iter	MultiClass
0	1.585231238
1	1.560216226
2	1.539147383
3	1.518013267
4	1.493448718
5	1.472638114
6	1.457372003
7	1.437429129
8	1.416016063
9	1.394872768
10	1.374872123
11	1.357988629
12	1.336925052
13	1.319749036
14	1.302977895
15	1.286172227
16	1.269270961
17	1.253665009
18	1.23528869
19	1.222206297
20	1.210811608
21	1.195926599
22	1.18362577
23	1.171666463
24	1.158939295
25	1.14829317
26	1.134057356
27	1.122361268
28	1.108982663
29	1.099050472
30	1.086393764
31	1.074987369
32	1.06286781
33	1.051773211
34	1.039547328
35	1.02740749
36	1.017940327
37	1.007226494
38	0.9971022637
39	0.9857958713
40	0.97486351
41	0.9647756121
42	0.9555547575
43	0.9445922834
44	0.9348438789
45	0.9258260125
46	0.9152424769
47	0.9055000526
48	0.8965731472
49	0.8875333108
50	0.8790321466
51	0.8702756407
52	0.8625580112
53	0.8534250134
54	0.8460564766
55	0.8383378949
56	0.8311654316
57	0.8240938584
58	0.8165014876
59	0.8105472433
60	0.8027629143
61	0.794995119
62	0.78771964
63	0.7801247782
64	0.7728332953
65	0.7669724303
66	0.759503201
67	0.7541084486
68	0.7482928952
69	0.7413675032
70	0.7346859498
71	0.7289260225
72	0.7222420422
73	0.7160398852
74	0.7099775078
75	0.7034395463
76	0.6968197486
77	0.6911400629
78	0.6850158598
79	0.6798760918
80	0.674256069
81	0.6683639489
82	0.6625195213
83	0.6578436854
84	0.6516958709
85	0.646273171
86	0.6405693648
87	0.6349571673
88	0.6298201038
89	0.6254213755
90	0.6204993533
91	0.6158085474
92	0.6104534522
93	0.6054416441
94	0.6003651256
95	0.5952123996
96	0.5906906753
97	0.5862071712
98	0.582210108
99	0.5778091461
100	0.5732320435
101	0.5686566524
102	0.5645682174
103	0.5599071803
104	0.5555462569
105	0.5510715267
106	0.5466342966
107	0.5424680611
108	0.5393631813
109	0.5358933199
110	0.5318888181
111	0.528135941
112	0.5247826777
113	0.5212507279
114	0.517595429
115	0.5138772974
116	0.5108948928
117	0.5074770846
118	0.5046047813
119	0.5010947842
120	0.4979555141
121	0.494797586
122	0.4917856893
123	0.4883192174
124	0.4846376473
125	0.4814295042
126	0.478313425
127	0.4749979174
128	0.4716437081
129	0.4687424028
130	0.4655886302
131	0.4625310197
132	0.4596007192
133	0.4567840125
134	0.4540909565
135	0.4510772899
136	0.4482322098
137	0.4456605624
138	0.443274337
139	0.4406187343
140	0.4377213673
141	0.4351329979
142	0.4329923863
143	0.4303208846
144	0.4274782672
145	0.4249656651
146	0.4226647733
147	0.4202632576
148	0.4174282729
149	0.4151156281
150	0.4124745464
151	0.410187145
152	0.4076689471
153	0.4055478138
154	0.4030449957
155	0.4015881155
156	0.3992250834
157	0.3968920221
158	0.3947154858
159	0.3921972999
160	0.3898966217
161	0.3874901591
162	0.3853823845
163	0.3832884265
164	0.3815134686
165	0.3795494605
166	0.3773416709
167	0.3749391052
168	0.3727173084
169	0.3712845008
170	0.3695163198
171	0.3675417482
172	0.3658018034
173	0.3637883855
174	0.3622417702
175	0.3603345281
176	0.3582774125
177	0.3561758718
178	0.3541635754
179	0.3522196879
180	0.3508374133
181	0.3490552127
182	0.3471867277
183	0.3458361477
184	0.3441815895
185	0.3423447586
186	0.3410175556
187	0.3398126866
188	0.3382978829
189	0.33670307
190	0.335313723
191	0.3335857351
192	0.3320667149
193	0.3302342619
194	0.3286108941
195	0.3269221516
196	0.3254490569
197	0.3242683521
198	0.3230408849
199	0.3216494251
200	0.32012505
201	0.3189912267
202	0.3175281783
203	0.316216468
204	0.3149322411
205	0.313579987
206	0.3128143773
207	0.3117464488
208	0.3104120806
209	0.3089448426
210	0.3077377483
211	0.3063519327
212	0.3050153742
213	0.3039410237
214	0.3028434141
215	0.3016355374
216	0.3003758058
217	0.2990619671
218	0.2979975832
219	0.2968197015
220	0.2956430711
221	0.2945201322
222	0.2937332917
223	0.2926056496
224	0.2913089099
225	0.2905899761
226	0.289732833
227	0.2887661556
228	0.2876061444
229	0.2862895317
230	0.2852150865
231	0.2842356529
232	0.2831166282
233	0.2820346484
234	0.2809501059
235	0.2801810423
236	0.2794253815
237	0.2784379046
238	0.2775962498
239	0.2768194362
240	0.2759296179
241	0.2749813061
242	0.2742424917
243	0.2734901099
244	0.272708683
245	0.2719846682
246	0.2709041
247	0.2697607814
248	0.2691177308
249	0.2682723832
250	0.2676694727
251	0.266544557
252	0.2656886044
253	0.2650426783
254	0.2644826685
255	0.2638116228
256	0.2630114355
257	0.2624145887
258	0.2615335236
259	0.2607161358
260	0.2600785025
261	0.2591753388
262	0.2587002115
263	0.2577858275
264	0.256934499
265	0.256210894
266	0.2552519462
267	0.2547147627
268	0.253933816
269	0.2536524015
270	0.2528322945
271	0.2521145226
272	0.2514409654
273	0.2505283846
274	0.2497471988
275	0.2493846844
276	0.2489235915
277	0.2481951463
278	0.2475018381
279	0.246960513
280	0.2466001135
281	0.2460132262
282	0.2452542439
283	0.2447660421
284	0.2443928593
285	0.2437253587
286	0.2433034165
287	0.2426997587
288	0.2422074273
289	0.241483767
290	0.2408917182
291	0.2405389492
292	0.2398784949
293	0.2390969845
294	0.2383590368
295	0.2377254929
296	0.2374305113
297	0.236579229
298	0.2359907128
299	0.2353899027
300	0.2351249164
301	0.2345908247
302	0.2339157096
303	0.2333485299
304	0.2326234576
305	0.2317233566
306	0.2309304277
307	0.2302070775
308	0.2298915715
309	0.2293009387
310	0.2290012473
311	0.2286008036
312	0.2278811962
313	0.2275497548
314	0.2270003616
315	0.2266150227
316	0.2261874753
317	0.2255523865
318	0.2250237635
319	0.2246276766
320	0.224179467
321	0.2239546141
322	0.2236078289
323	0.22320338
324	0.2229199606
325	0.222654
326	0.2221605786
327	0.2217445837
328	0.2213869912
329	0.2205942626
330	0.2202208827
331	0.219868571
332	0.2194319235
333	0.2190935891
334	0.2184860677
335	0.2182137462
336	0.2178072349
337	0.2174309261
338	0.2169341234
339	0.2165925877
340	0.2162381589
341	0.2160302471
342	0.215744394
343	0.2154796243
344	0.2152008555
345	0.2148604068
346	0.2144549166
347	0.214016269
348	0.21389317
349	0.2135858541
350	0.2132701943
351	0.212874295
352	0.2123442822
353	0.2119739142
354	0.2116208947
355	0.2111447326
356	0.2109570235
357	0.2104753088
358	0.2101585215
359	0.2097266374
360	0.2091725346
361	0.2090209572
362	0.2086651032
363	0.2084558374
364	0.2079570584
365	0.2073691181
366	0.2071111404
367	0.2067257257
368	0.2065042433
369	0.206187032
370	0.2058169354
371	0.2054836706
372	0.2051040873
373	0.2048719399
374	0.204637356
375	0.2043434896
376	0.2039666991
377	0.2037000451
378	0.2033377778
379	0.2030147836
380	0.202794665
381	0.2023015756
382	0.2019570593
383	0.201769729
384	0.2014122371
385	0.200951391
386	0.2005475558
387	0.2002940284
388	0.2000686594
389	0.1998651624
390	0.199591704
391	0.1991575075
392	0.1988887694
393	0.1986942519
394	0.1982717728
395	0.1979149026
396	0.1976281496
397	0.1973668233
398	0.1969791923
399	0.1967274556
400	0.1965016129
401	0.1962581258
402	0.1959853216
403	0.1957432132
404	0.1955481559
405	0.1951454938
406	0.1949498302
407	0.194619694
408	0.1943274915
409	0.1939903657
410	0.1936371147
411	0.1933711288
412	0.1930899838
413	0.1928271903
414	0.192541243
415	0.1923945364
416	0.1922074091
417	0.1920204709
418	0.1917613373
419	0.191531789
420	0.1912604736
421	0.1908262319
422	0.190648371
423	0.1902515812
424	0.1897023775
425	0.1894996679
426	0.1892118991
427	0.1888277639
428	0.1886135105
429	0.1884293785
430	0.1882721591
431	0.1880524969
432	0.187830714
433	0.1874793781
434	0.1872984358
435	0.1869088486
436	0.1866870633
437	0.1862439719
438	0.1859081191
439	0.1855794079
440	0.1854183872
441	0.1851912785
442	0.1846587836
443	0.1844697668
444	0.1842455983
445	0.1840583794
446	0.1837651231
447	0.1833766656
448	0.1832164865
449	0.1830125423
450	0.1828095309
451	0.1825390183
452	0.1822974511
453	0.1820950604
454	0.1818898925
455	0.1815520792
456	0.1813508641
457	0.1811610747
458	0.1808775541
459	0.1807022906
460	0.1804450779
461	0.1802890168
462	0.180088483
463	0.1798937005
464	0.1797034176
465	0.1795344332
466	0.179381811
467	0.1791043627
468	0.1789383082
469	0.1787340563
470	0.1786246125
471	0.1784770913
472	0.1783464005
473	0.178116217
474	0.1778676189
475	0.1777175312
476	0.1774925596
477	0.1772600985
478	0.1770022395
479	0.176831197
480	0.1766510232
481	0.1765304524
482	0.1763377673
483	0.1761424539
484	0.1759347118
485	0.1757524967
486	0.175554384
487	0.1752738533
488	0.1750727769
