iter	Passed	Remaining
0	12	6036
1	21	5298
2	31	5253
3	42	5289
4	51	5133
5	62	5125
6	71	5045
7	81	5024
8	91	5018
9	101	4981
10	112	4982
11	126	5152
12	138	5181
13	149	5204
14	162	5256
15	173	5259
16	185	5259
17	196	5251
18	212	5367
19	222	5348
20	232	5296
21	241	5257
22	251	5221
23	276	5484
24	285	5431
25	295	5387
26	305	5348
27	314	5304
28	324	5266
29	333	5222
30	347	5262
31	357	5231
32	367	5199
33	377	5171
34	387	5145
35	396	5112
36	406	5085
37	415	5054
38	428	5067
39	438	5040
40	447	5010
41	457	4984
42	466	4960
43	476	4939
44	485	4913
45	495	4887
46	504	4865
47	514	4841
48	524	4823
49	538	4845
50	548	4826
51	558	4809
52	567	4788
53	577	4767
54	587	4752
55	596	4730
56	606	4716
57	620	4724
58	629	4705
59	639	4687
60	648	4665
61	657	4645
62	672	4665
63	683	4653
64	692	4636
65	702	4621
66	712	4606
67	723	4593
68	732	4577
69	743	4567
70	758	4580
71	768	4566
72	777	4546
73	787	4532
74	796	4513
75	806	4499
76	815	4482
77	825	4464
78	838	4469
79	848	4452
80	857	4435
81	870	4435
82	879	4418
83	888	4402
84	898	4386
85	907	4370
86	917	4355
87	926	4338
88	936	4326
89	947	4316
90	956	4300
91	966	4284
92	975	4269
93	984	4253
94	994	4238
95	1003	4223
96	1013	4210
97	1022	4196
98	1039	4208
99	1048	4194
100	1057	4179
101	1067	4164
102	1090	4202
103	1099	4187
104	1109	4175
105	1120	4165
106	1131	4154
107	1142	4145
108	1153	4136
109	1164	4128
110	1174	4114
111	1184	4102
112	1195	4094
113	1204	4079
114	1214	4066
115	1223	4051
116	1233	4037
117	1242	4023
118	1252	4009
119	1262	3996
120	1271	3982
121	1281	3972
122	1292	3961
123	1302	3950
124	1312	3937
125	1321	3922
126	1335	3922
127	1344	3908
128	1354	3894
129	1363	3881
130	1373	3869
131	1382	3854
132	1392	3842
133	1402	3829
134	1415	3826
135	1424	3813
136	1434	3800
137	1447	3797
138	1456	3783
139	1466	3770
140	1475	3756
141	1484	3743
142	1494	3730
143	1504	3719
144	1514	3706
145	1526	3700
146	1535	3686
147	1545	3675
148	1554	3662
149	1564	3650
150	1576	3644
151	1586	3632
152	1596	3619
153	1607	3610
154	1616	3597
155	1626	3586
156	1635	3572
157	1644	3558
158	1653	3546
159	1662	3533
160	1672	3521
161	1681	3507
162	1692	3499
163	1702	3487
164	1711	3474
165	1721	3462
166	1730	3450
167	1739	3437
168	1748	3424
169	1757	3412
170	1771	3407
171	1780	3394
172	1789	3382
173	1798	3368
174	1807	3357
175	1816	3343
176	1832	3344
177	1841	3331
178	1851	3319
179	1859	3306
180	1869	3294
181	1878	3281
182	1887	3269
183	1896	3256
184	1907	3247
185	1916	3234
186	1925	3222
187	1934	3211
188	1943	3198
189	1952	3186
190	1961	3173
191	1970	3160
192	1979	3148
193	1988	3137
194	1997	3124
195	2006	3112
196	2016	3101
197	2026	3090
198	2036	3079
199	2045	3068
200	2055	3057
201	2067	3050
202	2076	3038
203	2087	3028
204	2101	3023
205	2114	3017
206	2125	3009
207	2152	3021
208	2165	3014
209	2176	3005
210	2194	3005
211	2207	2998
212	2220	2991
213	2237	2990
214	2249	2981
215	2259	2971
216	2269	2960
217	2281	2951
218	2291	2940
219	2301	2929
220	2311	2917
221	2320	2905
222	2329	2893
223	2338	2881
224	2349	2871
225	2359	2860
226	2368	2848
227	2378	2837
228	2387	2825
229	2402	2820
230	2412	2809
231	2421	2797
232	2436	2792
233	2446	2780
234	2455	2768
235	2464	2757
236	2475	2746
237	2493	2744
238	2502	2733
239	2512	2722
240	2522	2710
241	2532	2699
242	2542	2688
243	2551	2677
244	2562	2666
245	2572	2655
246	2581	2644
247	2593	2635
248	2603	2624
249	2613	2613
250	2623	2602
251	2633	2591
252	2643	2581
253	2654	2570
254	2664	2559
255	2673	2548
256	2683	2537
257	2695	2527
258	2705	2517
259	2711	2503
260	2723	2493
261	2732	2481
262	2741	2470
263	2750	2459
264	2763	2450
265	2773	2439
266	2782	2428
267	2793	2418
268	2806	2410
269	2816	2399
270	2826	2388
271	2835	2376
272	2844	2365
273	2854	2354
274	2864	2343
275	2874	2332
276	2884	2322
277	2894	2311
278	2903	2299
279	2913	2289
280	2924	2279
281	2934	2268
282	2943	2257
283	2952	2245
284	2962	2234
285	2972	2224
286	2981	2212
287	2991	2202
288	3001	2191
289	3010	2179
290	3020	2169
291	3029	2157
292	3038	2146
293	3048	2136
294	3058	2125
295	3068	2115
296	3078	2104
297	3098	2100
298	3109	2090
299	3122	2081
300	3144	2079
301	3155	2068
302	3165	2058
303	3175	2047
304	3185	2036
305	3194	2025
306	3204	2014
307	3214	2004
308	3224	1992
309	3233	1981
310	3242	1970
311	3252	1959
312	3261	1948
313	3271	1937
314	3280	1926
315	3289	1915
316	3302	1906
317	3313	1896
318	3322	1885
319	3334	1875
320	3344	1864
321	3353	1853
322	3363	1843
323	3372	1832
324	3382	1821
325	3391	1810
326	3401	1799
327	3411	1789
328	3420	1778
329	3431	1767
330	3440	1756
331	3449	1745
332	3460	1735
333	3470	1724
334	3479	1713
335	3489	1703
336	3499	1692
337	3509	1681
338	3518	1670
339	3528	1660
340	3537	1649
341	3549	1639
342	3559	1629
343	3568	1618
344	3581	1609
345	3591	1598
346	3601	1587
347	3610	1576
348	3619	1565
349	3628	1555
350	3638	1544
351	3648	1534
352	3658	1523
353	3668	1513
354	3678	1502
355	3688	1491
356	3697	1481
357	3706	1470
358	3715	1459
359	3725	1448
360	3734	1437
361	3745	1427
362	3755	1417
363	3763	1406
364	3772	1395
365	3781	1384
366	3793	1374
367	3802	1364
368	3811	1353
369	3821	1342
370	3830	1331
371	3840	1321
372	3849	1310
373	3858	1299
374	3867	1289
375	3877	1278
376	3886	1268
377	3895	1257
378	3905	1246
379	3914	1236
380	3923	1225
381	3932	1214
382	3941	1204
383	3949	1193
384	3959	1182
385	3968	1172
386	3978	1161
387	3994	1153
388	4004	1142
389	4013	1131
390	4022	1121
391	4032	1110
392	4055	1104
393	4066	1093
394	4078	1084
395	4090	1074
396	4104	1064
397	4117	1055
398	4128	1045
399	4138	1034
400	4149	1024
401	4160	1014
402	4170	1003
403	4180	993
404	4190	983
405	4200	972
406	4210	962
407	4220	951
408	4230	941
409	4241	931
410	4252	920
411	4261	910
412	4274	900
413	4284	890
414	4294	879
415	4304	869
416	4313	858
417	4323	848
418	4332	837
419	4342	827
420	4353	817
421	4363	806
422	4373	796
423	4382	785
424	4391	775
425	4401	764
426	4411	754
427	4420	743
428	4430	733
429	4439	722
430	4449	712
431	4458	701
432	4468	691
433	4481	681
434	4491	671
435	4500	660
436	4514	650
437	4524	640
438	4533	629
439	4543	619
440	4552	609
441	4562	598
442	4572	588
443	4582	577
444	4592	567
445	4602	557
446	4613	547
447	4623	536
448	4633	526
449	4645	516
450	4655	505
451	4666	495
452	4676	485
453	4686	474
454	4696	464
455	4706	454
456	4716	443
457	4727	433
458	4736	423
459	4746	412
460	4755	402
461	4764	391
462	4775	381
463	4786	371
464	4795	360
465	4805	350
466	4814	340
467	4824	329
468	4833	319
469	4844	309
470	4854	298
471	4863	288
472	4873	278
473	4882	267
474	4894	257
475	4903	247
476	4912	236
477	4922	226
478	4931	216
479	4941	205
480	4950	195
481	4960	185
482	4975	175
483	4984	164
484	4994	154
485	5014	144
486	5023	134
487	5033	123
488	5042	113
489	5053	103
490	5063	92
491	5075	82
492	5088	72
493	5099	61
494	5109	51
495	5119	41
496	5128	30
497	5140	20
498	5150	10
499	5159	0
